command,name,description,arg1,arg2,arg3,arg4
<MSG,message,<MSG,,,,
<WAI,wait,<WAI[second]:[millis],Seconds,Millis,,
<PSH,push,<PSH[event],Event,,,
<POP,pop,<POP,,,,
<END,end,<END,,,,
<KEY,key,<KEY,,,,
<FRE,free,<FRE,,,,
<EVE,event,<EVE[Event],Event,,,
<END,end,<END,,,,
<FL+,flag +,<FL+[flag],Flag,,,
<FL-,flag -,<FL-[flag],Flag,,,
<FLJ,flag jump,<FLJ[flag]:[event],Flag,Event,,
<FNJ,flag not jump,<FNJ[flag]:[event],Flag,Event,,
<FLC,flag clear,<FLC,,,,
<SWG,stopwatch go,<SWG,,,,
<SWH,sw halt,<SWH,,,,
<SWR,sw reset,<SWR,,,,
<TIG,timer go,<TIG,,,,
<TIH,timer halt,<TIH,,,,
<TIA,timer add,<TIA,Seconds,Millis,,
<TIS,timer subtract,<TISxxxx:yyyy,Seconds,Millis,,
<TIR,timer reset,<TIR,,,,
<TEU,timer event push,<TEUxxxx:yyyy:zzzz,Event,Second,Millis,
<TEO,timer event pop,<TEOxxxx,Event,,,
<TEC,timer event clear,<TEC,,,,
<AVL,av load,<AVLxxxx:string_arg$,Buffer,,,
<AVU,av unload,<AVU[buffer],Buffer,,,
<AVH,av hide,<AVH[buffer],Buffer,,,
<AVV,av visible,<AVV[buffer],Buffer,,,
<AVP,av pause,<AVP[buffer],Buffer,,,
<AVY,av play,<AVY[buffer],Buffer,,,
<AVS,av stop,<AVS[buffer],Buffer,,,
<IMS,image show,<IMSpath_to_image$,,,,
<IMH,image hide,"<IMH, hides the overlay image",,,,
<TRA,TRAnsition tsc script,<TRA[event number]:[path_to_script$],Event,,,
<TGT,TarGeT,<TGT[uuid],UUID,,,
<SLT,Set Light Target,<SLT[start address]:[stop address]:[step count],Start,Stop (exclusive),Step,
<PLC,Push Light Color,<SLC[R]:[G]:[B]:[time_ms],R,G,B,Millis
<CLC,Clear Light Colors,<CLC,,,,
<RLI,Reset Light Index,<RLI,,,,
<RLT,Reset Light Timer,<RLT,,,,
<SLR,Set Light Ripple,<SLR[time millis],Millis,,,
