command,name,description,arg1,arg2,arg3,arg4
<MSG,message,na,,,,
<WAI,wait,na,Event,Event,,
<PSH,push,na,Event,,,
<POP,pop,na,,,,
<END,end,na,,,,
<KEY,key,na,,,,
<FRE,free,na,,,,
<EVE,event,na,Event,,,
<END,end,na,,,,
<FL+,flag +,na,Event,,,
<FL-,flag -,na,Event,,,
<FLJ,flag jump,na,Event,Event,,
<FNJ,flag not jump,na,Event,Event,,
<FLC,flag clear,na,,,,
<SWG,stopwatch go,na,,,,
<SWH,sw halt,na,,,,
<SWR,sw reset,na,,,,
<TIG,timer go,na,,,,
<TIH,timer halt,na,,,,
<TIA,timer add,na,Event,Event,,
<TIS,timer subtract,na,Event,Event,,
<TEU,timer event push,na,Event,Event,Event,
<TEO,timer event pop,na,Event,,,
<TEC,timer event clear,na,,,,
<AVL,av load,na,Event,Event,,
<AVU,av unload,na,Event,,,
<AVH,av hide,na,Event,,,
<AVV,av visible,na,Event,,,
<AVP,av pause,na,Event,,,
<AVY,av play,na,Event,,,
<AVS,av stop,na,Event,,,
<IMS,image show,na,,,,
<IMH,image hide,na,,,,
